number,value,datetime_start,datetime_complete,duration,params_eta,params_gamma,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
36,0.6545917175426264,2024-01-28 19:40:47.444767,2024-01-28 19:42:05.454477,0 days 00:01:18.009710,0.9832957885216151,3.656505780014853,4,4850,25.61462871648844,23.5544529730023,0.3106179546435741,COMPLETE
37,0.6297671703229667,2024-01-28 19:40:47.753803,2024-01-28 19:42:11.136034,0 days 00:01:23.382231,0.9789608999360447,1.3010273741839953,20,5000,25.542008866110585,30.100501962729417,0.2981214832946181,COMPLETE
38,0.6664511058706089,2024-01-28 19:40:48.316359,2024-01-28 19:42:12.226034,0 days 00:01:23.909675,0.9773181784958891,1.3371032857719598,4,4750,22.33148492046422,28.441395816812378,0.6660260130402145,COMPLETE
39,0.6587371577423756,2024-01-28 19:40:48.920476,2024-01-28 19:42:04.638478,0 days 00:01:15.718002,0.9883359585217334,2.875277106509543,20,1600,26.436820503074383,31.07758779035344,0.6432598030024053,COMPLETE
40,0.6505535698508818,2024-01-28 19:41:00.766667,2024-01-28 19:42:12.051034,0 days 00:01:11.284367,0.9530599781469772,0.550298653728241,20,1700,26.164808742701943,85.18744289240408,0.6149149418736062,COMPLETE
41,0.6415826938274678,2024-01-28 19:41:03.215739,2024-01-28 19:42:21.380702,0 days 00:01:18.164963,0.998050578375874,0.46908653482554463,20,3000,29.63254113783538,84.98090296714943,0.6217103589900131,COMPLETE
42,0.6420717093651709,2024-01-28 19:41:03.357839,2024-01-28 19:42:23.798701,0 days 00:01:20.440862,0.9823149108376318,0.12318014544560407,20,3000,28.018297123231612,84.97957534899412,0.6134812328012393,COMPLETE
43,0.6346689161233974,2024-01-28 19:41:16.311935,2024-01-28 19:42:22.668702,0 days 00:01:06.356767,0.582344497402,9.084193147174513,21,3050,33.70728933758275,85.537843700911,0.640559171341786,COMPLETE
44,0.648379125236591,2024-01-28 19:41:17.849003,2024-01-28 19:42:27.136258,0 days 00:01:09.287255,0.5500604526323994,9.31325195750755,20,1800,28.811197723536893,86.56635180559367,0.6359956250038996,COMPLETE
45,0.6291521053111444,2024-01-28 19:41:21.009260,2024-01-28 19:42:28.151258,0 days 00:01:07.141998,0.5489783669568923,10.046145501622048,20,1550,31.694145029531825,85.66604653893545,0.640264804672784,COMPLETE
